1.430511474609375e-05	ON
1.0002589225769043	OFF
2.00140380859375	ON
3.0025177001953125	OFF
4.003664255142212	ON
5.004780530929565	OFF
7.501463413238525	ON
8.502526998519897	OFF
9.503600835800171	ON
10.504657506942749	OFF
11.505800008773804	ON
12.506930589675903	OFF
13.508068323135376	ON
14.509191274642944	OFF
15.510337829589844	ON
16.51146149635315	OFF
17.51269507408142	ON
18.513816118240356	OFF
19.5149667263031	ON
20.516098022460938	OFF
21.517248153686523	ON
22.518372535705566	OFF
23.519564628601074	ON
24.52066135406494	OFF
25.52176284790039	ON
26.52284049987793	OFF
27.523926973342896	ON
28.525009393692017	OFF
29.526100158691406	ON
30.52717638015747	OFF
